name,NAME,PHONE NO,tags,website,add
Athletic Apex Health Clubs,Mr. Jeff Sanders , (315) 925-5051,Health Clubs,www.athleticapex.com,10334 Destiny USA Dr.
Broadwell Hospitality Group,Mr. Shane Broadwell , (315) 343-5121,"Banquets & Conference..., Conference Centers, Wedding Services",www.lakeontarioecc.com,PO Box 1001
"CMC Dance Company, Inc.",Ms. Marjorie Taylor , (315) 699-2355,Dancing Instruction &...,www.cmcdancecompany.com,6092 1/2 Rt. 31
Elevate Fitness,Mr. Gil Stedman , (315) 451-5050,"Health Clubs, Health & Wellness",www.elevatesyracuse.com,7455 Morgan Rd.
Elevate Fitness,Ms. Rachael Dydyk , (315) 446-0376,"Health Clubs, Health & Wellness",www.elevatesyracuse.com,5791 Widewaters Pkwy.
Genesis II Hair Replacement Studio,Ms. Alicia Stevens , (315) 458-1074,"Hair Replacement Products,...",www.genesishair.com,405 E. Taft Rd.
Hairanoia,Mr. Michael DeSalvo , (315) 479-8255,Beauty & Barber Salons,www.hairanoia.net,101 Green St.
iLoveKickboxing.com,Mr. Bruno Ranieri , (315) 523-7915,Health Clubs,www.ilovekickboxingdewittny.com,"5781 Bridge St., Ste. 37"
Jewish Community Center of Syracuse,Ms. Marci Erlebacher , (315) 445-2360,"Child Care, Health Clubs",www.jccsyr.org,5655 Thompson Rd.
"Metabolic, LLC",Ms. Kirstie Harris , (518) 860-9299,"Health & Wellness, Health Clubs",www.trainmetabolic.com,7608 Oswego Rd.
Metro Fitness Club,Mr. Randy Sabourin , (315) 426-8917,Health Clubs,www.getmetrofit.com,205 S. Salina St.
Metro Fitness East Club,Mr. Randy Sabourin , (315) 446-2638,Health Clubs,www.getmetrofit.com & www.metro42challenge.com ,6800 E. Genesee St.
Planet Fitness South Syracuse,Mr. Jake Stein , (315) 992-7303,Health Clubs,www.planetfitness.com,5957 S. Salina St.
RELAX The Spa - Rochester,Mr. Ed Alberts , (585) 412-4994,Spas Beauty & Day,www.relaxthespa.com,235 High St. Ext.
"Springside at Seneca Hill, Inc.",Ms. Sarah Weigelt , (315) 343-5658,Retirement Communities,www.oswegohealth.org,10 Cnty. Rt. 45A
Xyfection,#VALUE!,(888) 231-6441,Cleaning Service Office,www.Xyfection.com,87 Grant Ave.
